user,repID,date_joined,last_login,cohort,MA.GoodatMath,MA.ImportantDoWell,MA.NaturallyBetter,MA.EffortImportant,MA.UnderstandQuickly,MA.ThinkCarefully,MA.PlugInNum,MA.PatternsOverCalc,MA.ExcitingIntimidating,SA.ChairParts,SA.SpatialRel,SA.Diagrams,howmanymath,mathposthigh,ratereading,gender,FathEd,MothEd,class,Ethnic,engfirst,A.Figure,A.Rotate,A.Letters,A.Vocab,PM.Arith,PM.XY,PM.Theta,PM.TTSinCos,PM.TTSides,PM.CTSinCos,PM.TrigRs,SM.XY,SM.Theta,SM.TTSinCos,SM.CTSinCos
460,71929,10/13/2016 7:00,10/13/2016 7:00,Fall16,5,2,6,5,2,6,6,6,2,6,6,6,3,4,3,1,7,7,3,4,0,80,60,1.135360045,0.860260612,96.9,60,25,100,100,11.1,33.3,100,91.7,100,55.6
461,72034,10/13/2016 16:33,10/13/2016 16:33,Fall16,6,7,6,5,5,6,7,4,6,2,4,6,4,1,3,2,5,5,3,3,0,50,70,0.897171365,0.682452755,84.4,90,91.7,100,100,0,25,90,100,100,22.2
462,71482,10/13/2016 17:44,10/13/2016 17:44,Fall16,2,6,5,4,4,4,5,3,2,4,2,4,4,5,3,2,1,2,2,3,0,70,95,0.174921819,-1.117178278,93.8,50,91.7,0,100,0,16.7,90,100,100,0
464,68005,10/13/2016 20:38,10/13/2016 20:38,Fall16,5,4,7,5,3,7,7,7,4,7,7,3,4,1,2,2,7,3,3,4,0,65,30,-1.507765951,-1.294986135,87.5,20,25,0,33.3,0,25,50,58.3,0,0
465,72085,10/13/2016 20:56,10/13/2016 21:07,Fall16,5,6,7,3,5,6,5,5,3,5,5,6,4,1,4,2,5,2,4,4,1,50,90,0.174921819,-0.039554905,78.1,10,75,100,100,0,8.3,20,100,100,0
467,71944,10/13/2016 21:46,10/13/2016 21:46,Fall16,6,6,5,7,4,7,6,6,6,4,4,7,3,3,5,1,2,3,2,6,0,55,85,0.897171365,-1.294986135,90.6,0,25,0,33.3,0,25,50,58.3,0,0
468,71251,10/13/2016 22:24,10/13/2016 22:24,Fall16,1,5,7,2,6,5,4,7,1,6,2,5,1,2,1,2,1,1,2,4,0,70,65,1.135360045,1.038068469,87.5,70,25,0,100,11.1,8.3,50,100,100,0
469,72097,10/13/2016 23:08,1/28/2017 1:44,Fall16,6,6,6,5,3,6,6,6,6,6,6,6,4,2,5,2,1,5,4,4,1,85,90,-0.785516406,0.682452755,59.4,30,91.7,100,100,33.3,41.7,0,100,100,33.3
470,71893,10/13/2016 23:11,10/13/2016 23:11,Fall16,6,7,5,6,6,5,6,6,6,7,3,7,5,1,1,2,3,2,2,4,0,70,70,0.897171365,-1.472793991,96.9,80,100,100,100,44.4,66.7,80,100,100,55.6
471,68086,10/13/2016 23:39,10/13/2016 23:39,Fall16,6,6,4,5,4,6,3,2,5,2,3,5,5,5,2,2,2,2,1,4,0,40,40,-2.226173744,-2.194801652,62.5,0,33.3,0,0,0,33.3,0,58.3,0,0
472,72286,10/14/2016 3:29,10/14/2016 3:29,Fall16,6,7,5,5,5,6,5,5,6,6,4,5,4,5,5,2,2,3,4,7,1,85,60,1.135360045,1.221264442,93.8,90,100,100,100,55.6,33.3,100,100,100,66.7
473,71560,10/14/2016 3:31,10/14/2016 3:45,Fall16,3,6,6,6,6,7,6,6,4,6,5,5,2,2,3,1,7,1,4,3,0,50,55,-0.785516406,-1.117178278,37.5,0,25,0,33.3,0,41.7,0,100,0,0
474,72049,10/14/2016 17:06,10/14/2016 17:06,Fall16,3,5,7,3,6,6,6,4,1,6,6,6,4,4,4,1,3,7,5,4,1,55,55,0.174921819,1.038068469,90.6,60,25,0,100,11.1,41.7,60,100,0,11.1
478,57277,10/15/2016 1:59,12/12/2016 7:03,Fall16,4,3,6,5,5,5,5,6,3,3,4,6,4,1,4,2,6,5,3,4,1,70,95,1.135360045,1.221264442,100,70,25,0,100,0,8.3,90,100,100,66.7
479,71200,10/15/2016 3:12,10/15/2016 3:12,Fall16,6,7,2,7,2,7,5,7,7,7,7,7,5,5,4,1,6,6,5,4,0,70,95,0.413110499,1.221264442,96.9,80,91.7,100,100,22.2,41.7,50,100,100,44.4
480,71755,10/15/2016 4:11,10/15/2016 4:11,Fall16,5,5,6,3,5,6,2,5,3,3,5,6,2,1,2,2,1,1,2,4,0,70,75,1.135360045,0.499256782,96.9,80,91.7,66.7,100,11.1,58.3,50,91.7,0,22.2
481,72232,10/15/2016 4:20,11/30/2016 3:13,Fall16,7,7,4,4,4,5,5,4,7,7,4,4,3,4,5,2,7,6,4,4,0,60,40,-0.305297293,-0.217362761,90.6,10,100,0,0,0,50,20,100,100,0
483,71596,10/15/2016 19:19,11/19/2016 18:24,Fall16,5,6,7,5,7,6,2,5,4,4,5,5,5,3,1,2,5,5,1,4,0,40,75,-0.785516406,-1.294986135,93.8,0,83.3,100,100,0,25,20,100,0,0
484,71416,10/15/2016 20:13,10/15/2016 20:13,Fall16,5,5,5,6,4,7,5,4,3,4,5,5,3,1,5,2,5,5,4,7,1,50,50,-0.785516406,-1.117178278,28.1,0,25,0,33.3,0,16.7,0,83.3,0,0
489,71386,10/16/2016 17:22,10/16/2016 17:22,Fall16,4,4,7,6,3,6,3,7,6,7,7,5,4,2,5,1,6,5,2,1,1,75,85,0.413110499,1.221264442,93.8,70,25,0,100,11.1,25,90,100,0,0
491,71338,10/16/2016 19:06,10/16/2016 19:06,Fall16,1,1,7,4,6,3,6,6,1,1,2,6,5,1,5,2,1,4,5,4,1,75,80,0.655140932,1.760076129,96.9,50,100,0,100,0,50,80,91.7,100,0
492,71605,10/16/2016 20:04,10/16/2016 20:04,Fall16,5,7,3,7,2,5,5,6,4,6,6,6,4,4,5,1,5,5,5,1,1,60,70,-0.06326686,1.576880155,96.9,20,100,100,100,33.3,16.7,70,100,100,22.2
493,71902,10/16/2016 20:16,10/16/2016 20:16,Fall16,4,7,6,3,6,7,2,5,4,4,3,5,5,3,3,2,3,3,2,4,0,45,65,0.897171365,0.499256782,87.5,50,100,0,100,22.2,41.7,90,100,100,33.3
495,68104,10/16/2016 21:28,10/16/2016 21:39,Fall16,3,6,5,4,5,6,5,5,3,5,5,6,2,5,3,1,2,4,3,4,1,45,85,0.897171365,-0.039554905,84.4,60,41.7,0,33.3,44.4,58.3,70,83.3,0,55.6
496,68800,10/16/2016 21:36,10/16/2016 21:36,Fall16,6,7,5,6,6,7,6,5,6,5,6,5,4,5,5,2,3,3,4,4,1,70,60,1.135360045,1.221264442,96.9,90,83.3,100,100,66.7,41.7,70,91.7,100,66.7
500,71794,10/17/2016 4:45,10/28/2016 3:10,Fall16,7,7,6,5,6,6,6,6,4,4,5,6,4,1,5,2,6,5,5,1,1,60,70,-1.023705086,0.860260612,78.1,30,33.3,0,100,0,33.3,40,100,0,0
502,71485,10/17/2016 17:42,10/17/2016 17:42,Fall16,6,5,6,4,5,6,5,3,4,5,3,6,5,1,4,2,5,4,4,7,1,65,65,0.655140932,0.499256782,84.4,90,100,100,100,11.1,41.7,100,100,100,11.1
504,72319,10/17/2016 18:08,10/17/2016 18:08,Fall16,4,6,7,5,4,5,2,2,2,1,3,1,3,2,4,2,3,5,4,1,1,80,100,1.135360045,1.038068469,100,90,25,0,100,22.2,25,80,100,100,22.2
505,71839,10/17/2016 20:10,10/17/2016 20:10,Fall16,4,5,5,4,4,5,5,3,3,4,5,5,5,1,3,1,6,5,5,1,1,50,65,0.413110499,0.321448925,93.8,50,25,0,33.3,0,8.3,50,91.7,0,0
506,72454,10/17/2016 21:02,10/17/2016 21:02,Fall16,6,7,6,5,6,6,6,4,5,2,2,2,2,2,5,2,1,2,5,4,0,45,65,-1.265735519,-2.011605678,81.2,0,83.3,0,0,0,41.7,0,91.7,0,0
507,71551,10/17/2016 21:36,10/17/2016 21:36,Fall16,2,6,6,6,6,6,3,5,1,4,5,5,1,1,5,2,5,4,4,4,1,60,65,-0.06326686,-0.039554905,75,60,33.3,100,100,0,41.7,70,100,100,0
509,71842,10/17/2016 23:16,11/9/2016 6:10,Fall16,5,6,5,6,3,7,5,6,4,5,3,5,4,5,3,2,5,2,2,4,0,70,95,0.897171365,-0.039554905,87.5,90,100,100,100,55.6,58.3,90,100,100,55.6
