id_code,user,chairparts,spatialrel,diagrams,math1,math2,math3,math4,math5,math6,math7,math8,math9,math10,math11,math14,math15,math16,howmanymath,mathposthigh,ratereading,FathEd,MothEd,Income,class,gender,comfyspkreadeng,Ethnic
81190,2861,7,7,7,5,6,6,5,6,6,6,5,1,2,Algebra 2,"1, 2",Geometry 2011 Algebra 2016,[Decline to Answer],4,3,3,4,4,9,2,2,1,4
81193,#N/A,5,5,5,2,5,7,3,6,6,1,1,1,1,Statistics,"1, 2, 5","Algebra2:2017, geometry: 2016",[Decline to Answer],3,4,3,4,5,6,4,2,1,3
81211,#N/A,4,4,3,2,4,6,5,4,6,5,4,2,2,Elementary Statistics,"1, 2, 3, 4, 5","Geometry in 2013-14, Algebra 2 in 2014-15, Pre calculus in 2015-16, Calculus AB in 2016-17, Statistics in 2017",[Decline to Answer],4,1,5,7,2,5,2,2,1,3
81214,#N/A,7,3,7,6,7,7,3,6,5,3,6,6,2,Business Statistics,"1, 2, 3, 5","Algebra,1999. Geometry, 2000.  Trigonometry, 2001. Pre-Calculus, 1999.  Business Statistics, 2002.",[Decline to Answer],5,5,4,5,5,13,6,2,1,4
81217,#N/A,5,5,7,6,6,6,7,4,7,3,6,4,2,Calculus,"1, 2, 3, 4, 5",2016,[Decline to Answer],4,4,5,5,5,12,6,2,1,1
81220,#N/A,2,5,2,3,3,6,2,6,6,4,6,2,2,Calculus,"1, 2, 3, 4",Calculus in 2007,2007,4,2,4,3,5,11,4,2,1,4
81223,2731,3,3,7,6,6,6,7,5,4,2,6,4,1,AP Calculus AB,"1, 2, 3, 4","Algebra 2014, 2016; Geometry 2015; Precalculus 2017; Calculus 2018",[Decline to Answer],4,1,5,6,6,13,6,2,1,1
81226,#N/A,6,6,4,4,4,4,4,4,4,2,4,4,1,Math 909 - Statway,1,[Decline to Answer],[Decline to Answer],3,1,5,2,1,11,4,2,1,7
81229,2755,6,5,6,5,6,7,6,4,6,4,4,4,2,Statistics,"1, 2, 3, 4, 5","Statistics 2018, Calculus 2018, Pre-calculus 2018, Algebra 2017, Geometry 2010",[Decline to Answer],4,4,4,4,3,2,4,2,1,7
81232,#N/A,5,7,6,6,5,6,3,5,6,5,4,2,2,Algebra 3/4,"1, 2",ALgebra 3/4 in 2016,[Decline to Answer],4,1,4,2,2,11,3,2,1,1
81235,#N/A,4,4,4,2,7,7,4,5,6,4,5,1,2,pre algebra,1,[Decline to Answer],[Decline to Answer],2,1,4,7,1,3,2,2,1,3
81238,2732,7,7,7,7,7,7,7,3,6,6,4,4,2,Statistics,"1, 2, 3, 5","Algebra in 2010, Geometry in 2011, Pre-Calc/Trig in 2012, Statistics in 2013",[Decline to Answer],5,4,4,6,2,10,4,2,1,1
81241,#N/A,3,3,5,4,5,5,5,4,5,5,5,4,2,business calculus,"1, 2, 3",[Decline to Answer],[Decline to Answer],4,3,3,1,1,3,2,2,1,4
81244,2789,7,7,4,7,7,6,7,5,7,1,7,7,2,Calculus 1A,"1, 2, 3, 4, 5",Calculus- 2012,[Decline to Answer],5,1,5,4,2,11,5,2,1,3
81247,#N/A,6,5,2,1,5,7,3,6,5,1,4,1,2,Math C,"1, 2",[Decline to Answer],[Decline to Answer],2,2,4,1,3,8,2,2,1,4
81250,#N/A,6,6,6,3,3,5,4,3,4,4,4,2,2,N/A,6,N/A,N/A,1,1,5,6,5,11,5,2,1,1
81253,#N/A,5,4,6,5,6,6,4,5,6,4,4,4,2,Finite Mathematics,6,[Decline to Answer],Finite Mathematics 2008,4,1,4,3,5,10,4,2,1,6
81256,2750,5,2,5,5,6,5,5,3,6,5,4,4,1,Calculus,"1, 2, 3, 4",Calculus 2018,[Decline to Answer],4,1,5,6,5,13,6,2,1,3
81259,2844,6,4,6,3,6,6,4,6,6,5,4,2,2,Elementary Algebra,1,2016,n/a,4,4,3,3,2,6,4,2,1,3
81262,2846,6,4,6,1,7,7,7,5,4,4,4,1,1,Statistics,1,Algebra 2017,n/a,1,1,3,7,4,6,1,2,1,4
81265,#N/A,6,5,7,7,6,7,5,4,5,5,5,6,2,Calculus,"1, 2, 3, 4, 5","Stats 2017, Calculus 2013- 2016, PreCalc 2013 summer, Geometry 2012-2013, alegebra 2011-2012",n/a,4,3,4,3,1,14,4,2,1,4
81268,#N/A,5,5,7,5,5,3,7,2,6,5,6,3,2,none,"1, 2, 3, 4, 5",Calculus in 2015,[Decline to Answer],4,1,5,6,6,11,5,2,1,1
81271,2713,7,5,7,5,6,7,6,4,6,2,5,3,1,Statistics,"4, 5","Calculus 2006, Statistics 2018",I did not check Other.,4,3,5,2,3,13,5,2,1,4
81274,2786,2,6,6,7,6,6,6,6,6,7,6,6,2,Stats,"1, 5",2015,stats,2,2,5,2,5,9,4,1,1,4
81280,2719,7,6,7,3,7,7,3,7,7,1,3,7,2,Intermediate Algebra,1,[Decline to Answer],N/A,4,5,5,4,4,7,3,2,1,4
81283,#N/A,6,6,5,6,7,7,2,6,6,2,2,4,1,Math C,"1, 2",Algebra in 2016,[Decline to Answer],3,2,5,3,3,11,5,1,1,1
81289,#N/A,6,5,7,1,4,7,5,5,7,3,5,2,2,N/A,"1, 5, 6","Algebra (3 courses total) in 2009, Statistics in 2017",College Math for Liberal Arts in 2011,2,5,5,3,2,5,3,2,1,7
81292,#N/A,4,5,6,4,5,5,3,4,6,2,4,5,2,Math C,1,Algebra 2017,[Decline to Answer],3,3,5,1,1,7,2,2,1,3
81295,2777,5,3,6,5,5,6,4,5,6,5,4,3,1,Statistics,1,Algebra 2018,[Decline to Answer],4,4,5,2,2,11,4,2,1,3
81298,#N/A,5,5,6,1,6,6,6,5,7,2,6,2,2,none,"1, 2",[Decline to Answer],[Decline to Answer],2,1,4,2,6,11,4,2,1,7
81301,#N/A,6,5,6,5,5,3,3,3,6,5,3,5,2,Geometry,"1, 2","Algebra 2017, Geometry 2017",[Decline to Answer],3,4,3,3,3,5,2,1,1,6
81304,2783,2,3,6,5,5,6,3,5,7,1,6,4,2,Statistics,"1, 2, 3, 4, 5",statistic in 2018,[Decline to Answer],5,5,2,6,6,13,5,2,1,4
81307,2714,6,6,5,5,4,6,5,4,5,7,5,1,2,calculus 2,"1, 2, 3, 4, 5",[Decline to Answer],[Decline to Answer],4,3,5,7,2,3,2,2,1,3
81310,2890,4,4,2,6,6,6,6,4,7,6,4,4,1,pre algebra,"1, 2",[Decline to Answer],[Decline to Answer],3,3,3,7,2,7,3,2,1,7
81313,2720,3,4,5,2,5,6,5,6,6,4,4,1,2,Common Core 2,"1, 2","Geometry in 2014, Algebra 2 in 2015, Common Core 1 in 2017, Common Core 2 in 2018",[Decline to Answer],4,4,3,3,5,10,4,2,1,4
81316,2715,4,4,4,4,4,4,4,4,4,4,4,4,2,NA,"1, 2, 3, 5",STAT,STAT,4,5,3,2,2,4,2,2,1,2
81319,2945,5,4,5,4,6,4,5,4,5,2,4,4,2,Differential equations,"1, 2, 3, 4","LinearAlgebra in 2017, Geometry in 2009, Pre Calculus in 2011, Calculus in 2017",[Decline to Answer],4,5,5,4,2,14,4,1,1,4
81322,#N/A,1,1,5,3,7,7,3,7,7,2,6,3,2,pre-calculus,"1, 2, 3, 5","algebra in 2016, geometry in 2017, pre-calculus in 2017, statistics 2017",[Decline to Answer],4,1,2,2,6,11,3,2,0,1
81325,2744,2,2,5,6,7,7,6,5,5,4,6,3,1,pre-calculus,"1, 2, 3","triginometry and algebra 2 in 2017/2018, geometry in 2016/2017, algebra 1 in 2015/2016",[Decline to Answer],3,3,4,5,5,13,5,2,1,1
81328,2801,5,5,4,6,6,5,5,6,6,4,4,2,2,Statistical Methods for Social Sciences,"1, 5",[Decline to Answer],[Decline to Answer],4,3,4,1,1,7,4,2,1,3
81331,2851,5,4,6,6,5,6,3,5,7,5,5,5,2,College Algebra,"1, 2, 3, 4","Algebra in 2013, 2015, and 2018, Geometry in 2014, Pre-Calculus in 2016, AP Calculus in 2017",[Decline to Answer],4,1,4,3,2,8,4,2,1,1
81334,#N/A,1,4,5,3,5,7,7,6,7,7,4,1,1,Intermediate Algebra,"1, 2, 5, 6","Algebra in 2017, Geometry in 2013, Statistics in 2016",Pre-Algebra in 2014,2,5,5,3,3,4,3,1,1,4
81337,2725,5,6,7,5,7,5,7,5,6,4,7,5,2,Elementary Statistics,"1, 2, 5",[Decline to Answer],Statistics in 2017,2,1,4,7,4,4,3,2,1,1
81340,#N/A,7,5,6,2,5,6,4,5,6,3,4,2,2,Statistics,"1, 5",Statistics 2018,[Decline to Answer],2,5,4,2,2,8,3,1,1,6
81343,2800,3,6,4,6,5,6,3,3,7,5,6,3,2,Intermediate Algebra for Statistics,"1, 3, 5",Algebra for Statistics in 2017,[Decline to Answer],3,1,5,5,5,11,2,2,1,1
81346,2909,6,4,7,6,5,7,4,4,7,6,5,5,1,Statistics,5,Statistics  2018,[Decline to Answer],4,4,5,2,5,7,3,2,1,2
81349,2847,7,7,7,6,6,6,5,5,7,5,7,6,2,Statistics,"1, 2, 3, 4, 5","Algebra 2013, geometry 2014, trigonometry 2015, pre calculus 2016, calculus 2017, statistics 2018",[Decline to Answer],4,4,5,6,5,13,5,2,1,6
81352,#N/A,5,5,5,4,4,4,4,4,4,4,4,4,2,pre-algebra,6,[Decline to Answer],[Decline to Answer],2,1,5,2,2,14,4,2,1,3
81355,#N/A,5,4,6,3,4,7,5,5,7,4,4,1,2,High School Trigonometry,"1, 2, 3","High School: Algebra 2014, Geometry 2016, Trigonometry 2017",[Decline to Answer],4,1,4,7,7,6,3,1,1,4
81358,2717,5,5,5,6,6,6,6,3,7,2,5,6,2,Geometry,"1, 2, 5","Algebra 2003, Statistics 2017, Geometry 2018",N/A,3,4,3,3,3,12,5,2,1,2
81361,#N/A,2,2,5,1,2,5,2,6,6,2,5,1,2,Geometry,"1, 2",[Decline to Answer],[Decline to Answer],2,1,2,6,5,11,4,2,1,7
81364,2716,7,7,6,5,7,1,7,6,7,2,6,7,1,calculus 1A,"1, 2, 3, 4",calculus 2017,/,4,5,4,6,4,14,5,2,1,4
81367,#N/A,4,5,5,3,5,6,4,3,7,5,4,2,2,"Algebra, Statistics","1, 2, 4, 5",[Decline to Answer],[Decline to Answer],3,2,4,5,5,13,5,2,1,1
81370,2862,6,3,6,6,6,6,6,2,6,6,5,2,2,statistics,"1, 2, 5","stats in 2015, algebra in 2014, geometry in 2013",[Decline to Answer],3,1,4,5,5,13,6,2,1,1
81373,2883,5,5,1,6,6,7,5,5,4,3,6,5,2,n/a,"1, 2, 3, 4, 5","Geometry in 2012, Algebra in 2013, Triginometry in 2014, Calculus in 2015, Satistics in 2017",n/a,4,1,4,6,6,12,5,2,1,1
81376,2718,5,5,6,5,6,6,5,4,6,3,4,5,2,Statistics,"1, 2, 3, 5",[Decline to Answer],[Decline to Answer],4,2,4,1,2,10,5,2,1,3
81379,#N/A,6,6,6,5,5,7,3,6,7,6,3,3,2,Statistics,"1, 2, 3, 4, 5",1997-2002,[Decline to Answer],5,5,5,6,5,14,5,2,1,3
81382,#N/A,3,4,4,1,4,6,2,4,2,4,4,4,2,I did not take any math classes since high school,6,[Decline to Answer],[Decline to Answer],2,1,3,1,1,4,3,2,1,8
81385,2770,6,6,6,2,5,6,4,5,4,3,2,1,2,intermediate algebra,"1, 2",algebra 2017 geometry 2016,[Decline to Answer],3,2,4,1,3,3,2,2,0,9
81388,#N/A,7,6,4,6,5,3,6,3,6,2,5,4,2,Calculus 3,"1, 2, 3, 4, 5",2014 Calculus,[Decline to Answer],4,2,3,6,6,11,5,2,1,4
81391,#N/A,4,5,3,5,6,4,6,3,6,6,5,2,1,Statistics,4,Calculus 2018,None,4,2,4,4,5,13,5,2,1,4
